pn_id.id;rfq_create_date;part_number;rfq_company;position_quantity
8C11F096;07.08.2023;141A4810-56;Yaka;1
900F6C8D;07.08.2023;83000-05604;Yaka;1
5E1855AE;07.08.2023;78169-04;Win;2
00E6F522;07.08.2023;P4-01-0021;Seva Style;6
CCD58B5E;07.08.2023;AE0804C00;AVMGrup;1
CCD58B5E;07.08.2023;AE0804C01;AVMGrup;1
DF64ACB1;08.08.2023;5-89355-88;Yaka;1
2DBE7A17;08.08.2023;3215618-5;Win;1
2DBE7A17;08.08.2023;3215618-4;Win;1
EF09B5CD;08.08.2023;622-5132-633;Azr;1
54455261;09.08.2023;761574B;Win;1
EE846CB8;09.08.2023;3289630-2;Win;1
EE846CB8;09.08.2023;3289630-5;Win;1
BB2C87FD;09.08.2023;39-353;Win;1
422101B4;09.08.2023;285W0024-1B;Win;1
9F60A037;09.08.2023;10-631045-3;Win;1
9F60A037;09.08.2023;10-631045-3;Win;1
9F60A037;09.08.2023;10-631045-2;Win;1
9F60A037;09.08.2023;10-631045-3;Win;1
DE18B366;10.08.2023;426HE13-8;Yaka;2
792400EA;10.08.2023;3888058-5;Win;1
792400EA;10.08.2023;3888058-7;Win;1
2DBE7A17;10.08.2023;3215618-5;Win;1
2DBE7A17;10.08.2023;3215618-4;Win;1
0546B1C0;10.08.2023;822-1287-101;Win;1
964F26E8;10.08.2023;822-1604-151;Win;2
DC728BAE;10.08.2023;DK120/90;BTC;1
13F4B483;10.08.2023;641121-1;Azr;2
D02B5EE0;10.08.2023;34900005-34;Azr;1
2A3A2662;10.08.2023;2-7679-2;Azr;1
AEF5A0FF;10.08.2023;8G1270;Azr;2
9777622A;10.08.2023;3000-46-29;Azr;1
E9F0CBA4;10.08.2023;31-9289-4;Azr;1
2443E466;10.08.2023;31-9289-1;Azr;1
33E20372;10.08.2023;396800-12;Aport;5
EDDFA90A;10.08.2023;2704506-4;Aport;15
3A4ECCE8;10.08.2023;3876227-2;Aport;15
F78C4B81;10.08.2023;441921-5;Aport;8
0721357E;10.08.2023;3291432-1;Aport;5
6BE0E150;11.08.2023;9651-35-0005;Win;1
E87979AD;11.08.2023;S67-2002-28;Win;5
F50255EE;11.08.2023;72500410-4;Win;1
2987136C;11.08.2023;622-9210-108;Utah;1
2983D39A;11.08.2023;40678-2;Utah;3
C69C25EA;11.08.2023;1658-6;Utah;3
CB4F0DC2;11.08.2023;05N62123;Utah;4
D3420F11;11.08.2023;143A8333-9;Utah;1
046F00EF;11.08.2023;GG431-2031-1;Tupak-T;2
DE710AFC;11.08.2023;QA07865;Tupak-T;2
AEAEE0CC;11.08.2023;QA08196;Tupak-T;2
433AA773;11.08.2023;MS24665-134;Tupak-T;8
566BFDFE;11.08.2023;MS24665-300;Tupak-T;10
FBFBD36C;11.08.2023;MS24665-153;Tupak-T;10
536BD2AA;11.08.2023;MS24665-302;Tupak-T;8
F7B37379;11.08.2023;S3225-905;Tupak-T;4
F21151E4;11.08.2023;7014664-902;Tupak-T;3
00E6F522;11.08.2023;P4-01-0021;Tupak-T;2
A4C08BEC;11.08.2023;WE3881767-1;Tupak-T;2
8A8F1369;11.08.2023;MS28773-04;Tupak-T;3
B12C2229;11.08.2023;446518-1;Tupak-T;6
52E49E82;11.08.2023;BA21741SR-5;Tupak-T;2
7D034A6D;11.08.2023;700K32-018;Tupak-T;1
0270c69c;11.08.2023;8396-5;Tupak-T;1
4D3D9069;11.08.2023;3876280-1;Tupak-T;1
4D3D9069;11.08.2023;9049860-1;Tupak-T;1
B12C2229;11.08.2023;446518-1;Tupak-T;6
C5511F5A;11.08.2023;650-0100-04;Azr;5
66507185;11.08.2023;S67-2002-18;Aport;1
3AFF1755;11.08.2023;724400-2;Aport;5
0C149F7D;11.08.2023;EEC2010-02BX;Aport;1
9C2CBFEC;11.08.2023;980-6032-023;Aport;8
E3190D69;11.08.2023;9350127;Aport;42
FF26A016;11.08.2023;642-1000-505;Aport;3
96CE00DA;12.08.2023;228-50200-145;Tupak-T;1
EA1CE209;12.08.2023;MS9557-08;Azr;10
B05133B6;14.08.2023;143A8333-8;Win;5
1C3E0EF2;14.08.2023;2206400-2;Win;1
276839DA;14.08.2023;0851HT1;Win;2
9B6795CF;14.08.2023;024147-000;Win;1
2ADDCB6A;14.08.2023;R5303M1-1;Win;1
13305DE3;14.08.2023;51090414-1;Win;1
127C6E14;14.08.2023;141A4800-1;Win;3
031035FC;14.08.2023;500-12Y;Win;5
9C948C5B;14.08.2023;A0696Y;Win;5
4CEFC6E8;14.08.2023;541674-4;Utah;3
E45FAB74;14.08.2023;7000700-961;Utah;3
2DB2B893;14.08.2023;E709-01-100;Azr;6
F4F5231E;14.08.2023;071-01503-2601;Aport;1
04F94160;15.08.2023;HG1050AD11;Azr;1
28437BB4;15.08.2023;2341924-2;Aport;20
55CA3E47;15.08.2023;2341926-2;Aport;20
2ADDCB6A;15.08.2023;R5303M1-1;Aport;1
62ACF486;15.08.2023;3810056-108;Aport;5
62ACF486;15.08.2023;3810056-109;Aport;5
62ACF486;15.08.2023;3810056-108;Aport;5
62ACF486;15.08.2023;3810056-106;Aport;5
62ACF486;15.08.2023;3810056-108;Aport;5
2B80CF43;16.08.2023;320548-2;Yaka;1
E7C5CE6F;16.08.2023;155012-12-21;Win;1
EDDFA90A;16.08.2023;2704506-4;Aport;3
EDDFA90A;16.08.2023;2704506-4;Aport;3
F3ED4B0A;17.08.2023;30-0909-201;Yaka;1
4CEFC6E8;17.08.2023;541674-4;Yaka;1
12939BDC;17.08.2023;503274-419;Win;10
00CC728F;17.08.2023;63292146-1;Win;1
0270c69c;17.08.2023;8396-5;Tupak-T;1
FBFBD36C;17.08.2023;MS24665-153;Tupak-T;8
566BFDFE;17.08.2023;MS24665-300;Tupak-T;8
9A7AFC33;17.08.2023;M83248-1-034;Tupak-T;1
433AA773;17.08.2023;MS24665-134;Tupak-T;4
CA7943EB;17.08.2023;442653;BR;1
CA7943EB;17.08.2023;442653;BR;1
CA7943EB;17.08.2023;442653;BR;1
CA7943EB;17.08.2023;442369;BR;1
CA7943EB;17.08.2023;442653;BR;1
19FE9509;17.08.2023;4082730-911;Aport;1
62ACF486;17.08.2023;3810056-108;Aport;1
